title,author,tags,link,source
A Fast and Convenient Development Server with lite-server,Peleke Sengstacke,,https://scotch.io/bar-talk/a-fast-and-convenient-development-server-with-lite-server,Scotch
New Report Reveals How 931 Web Development Agencies Collaborate with Clients,Thomas Peham,design,https://scotch.io/bar-talk/new-report-reveals-how-931-web-development-agencies-collaborate-with-clients,Scotch
"Announcing Scotch.io v5, The Pub, and Scotch School",Chris Sevilleja,design,https://scotch.io/bar-talk/announcing-scotch-io-v5-the-pub-and-scotch-school,Scotch
Announcing the Winners of the Scotchmas/New Year’s Giveaways,Chris Sevilleja,,https://scotch.io/bar-talk/announcing-the-winners-of-the-scotchmasnew-years-giveaways,Scotch
"New Year’s Giveaway! Win a BB-8, Drone, or Kindle!",Chris Sevilleja,,https://scotch.io/bar-talk/new-years-giveaway-win-a-bb-8-drone-or-kindle,Scotch
Poll: What’s your favorite blogging/writing platform?,Chris Sevilleja,,https://scotch.io/bar-talk/poll-whats-your-favorite-bloggingwriting-platform,Scotch
"Scotchmas Day 5 – Chromecast, Jedi Bath Robes, and Star Wars Codepens",Holly Lloyd,,https://scotch.io/bar-talk/scotchmas-day-5-chromecast-jedi-bath-robes-and-star-wars-codepens,Scotch
4 JavaScript Design Patterns You Should Know,Devan Patel,javascript,https://scotch.io/bar-talk/4-javascript-design-patterns-you-should-know,Scotch
12 Days of Scotchmas – Day 1 Giveaway,Chris Sevilleja,,https://scotch.io/bar-talk/12-days-of-scotchmas-day-1-giveaway,Scotch
Modern Javascript Tools and the Stories Behind Them,Jonpaul Uritis,,https://scotch.io/bar-talk/modern-javascript-tools-and-the-stories-behind-them,Scotch
Announcing SpudPress: Pain Free Static WordPress Hosting,Nicholas Cerminara,wordpress,https://scotch.io/bar-talk/announcing-spudpress-pain-free-static-wordpress-hosting,Scotch
A Quick Look at the Best New Foundation 6 Features,Chris Sevilleja,"css,foundation",https://scotch.io/bar-talk/a-quick-look-at-the-best-new-foundation-6-features,Scotch
Announcing Scotch Box 2.5,Nicholas Cerminara,"starter,vagrant",https://scotch.io/bar-talk/announcing-scotch-box-2-5,Scotch
5 Things You Might Not Know About the CSS Positioning Types,George Martsoukos,css,https://scotch.io/bar-talk/5-things-you-might-not-know-about-the-css-positioning-types,Scotch
Angular Material vs. Material Design Lite,Jad Joubran,"Angular Material,material design,material-design-lite,MDL",https://scotch.io/bar-talk/angular-material-vs-material-design-lite,Scotch
Help Needed: The Horrible and Totally Preventable Scotch.io Image Data Loss of 2015,Chris Sevilleja,,https://scotch.io/bar-talk/help-needed-the-horrible-and-totally-preventable-scotch-io-image-data-loss-of-2015,Scotch
What’s New in Bootstrap 4,Nicholas Cerminara,"bootstrap,css",https://scotch.io/bar-talk/whats-new-in-bootstrap-4,Scotch
Announcing Scotch Box 2.0 – Our Dead-Simple Vagrant LAMP Stack Improved,Nicholas Cerminara,"starter,vagrant",https://scotch.io/bar-talk/announcing-scotch-box-2-0-our-dead-simple-vagrant-lamp-stack-improved,Scotch
Scotch.io May Giveaway,Chris Sevilleja,giveaway,https://scotch.io/bar-talk/scotch-io-may-giveaway,Scotch
"Join us on Slack, Slackers",Nicholas Cerminara,,https://scotch.io/bar-talk/join-us-on-slack-slackers,Scotch
Scotch.io Is Hiring!,Chris Sevilleja,,https://scotch.io/bar-talk/scotch-io-is-hiring,Scotch
Weekly Poll: Is hiding/showing a fixed header good UI?,Chris Sevilleja,poll,https://scotch.io/bar-talk/weekly-poll-is-hidingshowing-a-fixed-header-good-ui,Scotch
CodePen Challenge #1: CSS Jiggly Button,Chris Sevilleja,codepen,https://scotch.io/bar-talk/codepen-challenge-1-css-jiggly-button,Scotch
5 Helpful Screenshot Tools Every Developer Should Know,Thomas Peham,"browser extensions,screenshot tools",https://scotch.io/bar-talk/5-helpful-screenshot-tools-every-developer-should-know,Scotch
Changes and Reasons Behind the New Scotch.io Design,Chris Sevilleja,"css,design",https://scotch.io/bar-talk/changes-and-reasons-behind-the-new-scotch-io,Scotch
